,Treatment_i,Treatment_j,hdi_ConfoMap_2.5%,hdi_ConfoMap_97.5%,isSignificant_on_ConfoMap,hdi_Toothfrax_2.5%,hdi_Toothfrax_97.5%,isSignificant_on_Toothfrax
0,Dry grass,Dry bamboo,-3.916452020603659,2.795972578064121,False,-4.29614664216925,1.3774979955463342,False
1,Dry lucerne,Dry bamboo,-4.260453893794626,1.8998068950653533,False,-4.704579259872321,0.6673237850560954,False
2,Dry lucerne,Dry grass,-2.6158264978805,1.7176222028853765,False,-2.1956708691906663,1.3433824150138851,False
3,BrushNoDirt,BrushDirt,-15.01088388219362,3.380205963065375,False,-13.605707021863253,4.419980096609624,False
4,Control,BrushDirt,-35.73185207734589,4.275046849277906,False,-31.670087036630996,3.675432581756887,False
5,Control,BrushNoDirt,-34.00945037433957,14.409721856754164,False,-30.388298142064322,13.091719974645805,False
6,RubDirt,BrushDirt,-42.757336632579054,-32.04233120732202,True,-35.97214165383888,-23.722769020621097,True
7,RubDirt,BrushNoDirt,-42.52948120655348,-21.97861148318775,True,-36.26507403695402,-14.506281638908,True
8,RubDirt,Control,-43.36512626294183,-0.7920987785952773,True,-36.453023327252964,2.4216495067170776,False
9,Clover+dust,Clover,-4.4293185267792765,2.3635117864082087,False,-4.325436494613483,2.0256946420426116,False
10,Grass,Clover,-5.539380661900939,1.2708104757117278,False,-5.413693505045428,0.9275163225362233,False
11,Grass,Clover+dust,-3.5106054998061182,1.0559238872596692,False,-3.020074564833717,1.2359517064111598,False
12,Grass+dust,Clover,-6.448750065212357,0.1274691545628741,False,-6.012465394732741,0.3566493605509642,False
13,Grass+dust,Clover+dust,-4.2004994676743275,0.14296143449967413,False,-3.783692778579973,0.36682096910172746,False
14,Grass+dust,Grass,-3.2743658340680177,1.239253001686821,False,-2.811040368443898,1.4485780146206517,False
